state_length,time,SW-15,SW-29,TSW-15,TSW-29,SD,JC,TD
"(2, 3, 4, 5, 6)",0,,,,,0.33875915545087,-0.4290815148463147,
"(2, 3, 4, 5, 6)",1,,,,,0.6634268260875249,-0.4289911692085498,
"(2, 3, 4, 5, 6)",2,,,,,0.14321899048722977,-0.429144801476775,
"(2, 3, 4, 5, 6)",3,,,,,0.2941776925024721,-0.4290917405298822,
"(2, 3, 4, 5, 6)",4,,,,,0.31187877430186595,-0.42908835349544094,0.46279898485689597
"(2, 3, 4, 5, 6)",5,,,,,0.38129674656890405,-0.4290712504083133,0.40753125653204425
"(2, 3, 4, 5, 6)",6,,,,,0.6492236502151632,-0.4289938250104766,0.5386028274148078
"(2, 3, 4, 5, 6)",7,0.8212600154822501,,0.8424932420878116,,0.24011377199681427,-0.4291046554255293,0.5164891692544876
"(2, 3, 4, 5, 6)",8,0.8453534221033006,,0.8586429623970502,,0.7119673435755783,-0.42897471352849176,0.9018085303273721
"(2, 3, 4, 5, 6)",9,0.8651692141000562,,0.8716403837290148,,0.42719560683170893,-0.4290587223473983,1.0641096366618796
"(2, 3, 4, 5, 6)",10,0.9936715836795399,,0.9767868284262415,,0.3967343926021215,-0.42906726993648364,0.9230262007614135
"(2, 3, 4, 5, 6)",11,0.9907385920900685,,0.9714461743721963,,0.9409217630979185,-0.4288824728524036,0.9365068180159563
"(2, 3, 4, 5, 6)",12,0.9326957289933101,,0.920911585777273,,-0.09083492972425398,-0.42922392181410274,0.8280762792312497
"(2, 3, 4, 5, 6)",13,0.9539878386822902,,0.9347234586398242,,0.31096627710003155,-0.429095964260046,0.5624466790008069
"(2, 3, 4, 5, 6)",14,0.7976460563966928,0.6748313630903123,0.8021472333395656,0.7297261564349191,0.4005916617626273,-0.4290676424252966,0.5810160181721439
"(2, 3, 4, 5, 6)",15,0.8501084398038776,0.6646424551953017,0.8476185076988911,0.7150901443792764,0.44389560114372417,-0.4290566693075605,0.4730373524180464
"(2, 3, 4, 5, 6)",16,0.7755776388622494,0.690835449430257,0.7927685182551637,0.7212783342768262,0.735060295646665,-0.4289608982882432,0.3433299027991346
"(2, 3, 4, 5, 6)",17,0.7457957778140342,0.755928840193619,0.7654776602386948,0.7498134721764772,0.687481254891471,-0.42897846531139794,0.5402445388809642
"(2, 3, 4, 5, 6)",18,0.7396360528334127,0.7574748404048075,0.7626346669055888,0.7464717352972625,0.3912996745231496,-0.42906890350789867,0.40227879368727
"(2, 3, 4, 5, 6)",19,0.6235793480567988,0.7881332937828384,0.6729445462327935,0.7551929725746039,0.223917517583219,-0.42911293410538254,0.34917216344446583
"(2, 3, 4, 5, 6)",20,0.9833435003551909,0.7583194006263029,0.9786074697131594,0.7339970979200217,0.4771040746904363,-0.42904538790360935,0.28246298048091434
"(2, 3, 4, 5, 6)",21,0.7785682822930436,0.742382711459773,0.7895117010218595,0.7292450430077434,0.22061555453356915,-0.4291545834127814,0.3947304692710541
"(2, 3, 4, 5, 6)",22,0.7549351268293261,0.6064480625050442,0.7530534261910113,0.6486810831579624,0.49585980213821435,-0.4290399234140885,0.07342926433151588
