time,SW-15,SW-29,TSW-15,TSW-29,SD,JC,TD
"('0',)",,,,,0.4690487749955472,-0.5617778172169082,
"('1',)",,,,,0.40962970500618573,-0.5617945984101134,
"('2',)",,,,,0.45154467156258127,-0.5617823595096794,
"('3',)",,,,,0.4908336390875681,-0.561773801738056,
"('4',)",,,,,0.31878900330397697,-0.5618265300353471,0.3050727844805115
"('5',)",,,,,0.48550546551799434,-0.561793793844247,0.3069443974722417
"('6',)",,,,,0.9333521726443694,-0.5616240289607931,0.3553433444862436
"('7',)",0.4532006089674611,,0.4812792110203689,,0.676804595985141,-0.5617186409754328,0.7726302953631684
"('8',)",0.4134746017191641,,0.4380566998560535,,0.5837213531238914,-0.5617496256426262,0.7484372183516508
"('9',)",0.222635564153348,,0.2553578798168496,,0.6820713667008578,-0.5617290950028061,0.588484714498076
"('10',)",0.21351931130149432,,0.23191873077212255,,0.23135037608905118,-0.5618589316799703,0.46846900893489124
"('11',)",0.215950819552444,,0.2248997724268301,,0.30708206472780014,-0.5618305807696686,0.415385177181871
"('12',)",0.15569309722569075,,0.16940657729921124,,0.398716526517189,-0.5617958357980087,0.4306143936775824
"('13',)",0.18194141182980395,,0.17955771281482683,,0.20288333222198865,-0.5618655223399337,0.5540649950450097
"('14',)",0.06923061957536834,0.45913591073336585,0.07959258688762161,0.39328194482299067,0.2319526481387023,-0.5618525877966564,0.08082168729504392
"('15',)",0.19328335264552088,0.4832122693954681,0.19403954199761775,0.42972864222322504,0.30567736142912505,-0.5618271357422996,0.10140164813100262
"('16',)",0.40153999906688104,0.46500174198615823,0.39691374913291194,0.4493832065498729,0.3213861102124954,-0.5618455641214403,-0.032506095587483186
"('17',)",0.5377428961387414,0.4607334018449767,0.5452515222959904,0.4765037294559532,0.6886151623841896,-0.5617146608263244,0.21034459847074563
"('18',)",0.7543837033845973,0.4557579141825475,0.7626409696426375,0.5001456264574743,0.6057440437324855,-0.5617399133814167,0.20776694189450612
"('19',)",1.0853118984412247,0.4712174985892264,1.0691508188772276,0.5393352199380799,0.39798492982311434,-0.5618204811717805,0.5480022339422707
